# Field minima and maxima
# Time          	field           	min             	location(min)   	max             	location(max)   
200             	T               	1.04997924e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	1.04998960e-02	(7.50000000e-03 1.25000000e-04 2.45000000e-03)
400             	T               	1.04997538e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	1.04998794e-02	(1.25000000e-02 1.25000000e-04 2.45000000e-03)
600             	T               	1.04997230e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	1.04998712e-02	(1.58333335e-02 1.25000000e-04 2.65000000e-03)
800             	T               	1.04996980e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	1.04998660e-02	(1.91666665e-02 1.25000000e-04 3.12500000e-03)
1000            	T               	1.04996764e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	1.04998621e-02	(2.08333335e-02 3.75000000e-04 3.87500000e-03)
1200            	T               	1.04996571e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	1.04998590e-02	(7.91666665e-02 1.15000000e-03 3.87500000e-03)
1400            	T               	1.04996393e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	1.04998563e-02	(7.91666665e-02 1.35000000e-03 3.87500000e-03)
1600            	T               	1.04996227e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	1.04998538e-02	(7.91666665e-02 1.55000000e-03 3.87500000e-03)
1800            	T               	1.04996070e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	1.04998514e-02	(7.91666665e-02 1.65000000e-03 3.87500000e-03)
2000            	T               	1.04995920e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	1.04998492e-02	(7.91666665e-02 1.85000000e-03 3.87500000e-03)
