# Region type : patch outlet
# Faces         : 400
# Area          : 1.00000000e-06
# Scale factor  : 1.00000000e+00
# Weight field  : phi
# Time          	weightedAverage(T)
200             	1.04581110e-02
400             	1.04962466e-02
600             	1.04995543e-02
800             	1.04998395e-02
1000            	1.04998626e-02
1200            	1.04998634e-02
1400            	1.04998624e-02
1600            	1.04998615e-02
1800            	1.04998606e-02
2000            	1.04998594e-02
