# Field minima and maxima
# Time          	field           	min             	location(min)   	max             	location(max)   
200             	T               	1.04998882e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	1.04999274e-02	(2.50000000e-03 3.12500000e-05 5.12500000e-04)
400             	T               	1.04998894e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	1.04999171e-02	(2.50000000e-03 3.12500000e-05 5.12500000e-04)
600             	T               	1.04998874e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	1.04999126e-02	(2.50000000e-03 2.50000000e-04 5.12500000e-04)
800             	T               	1.04998851e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	1.04999098e-02	(2.50000000e-03 2.50000000e-04 5.12500000e-04)
1000            	T               	1.04998828e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	1.04999079e-02	(2.50000000e-03 2.50000000e-04 5.12500000e-04)
1200            	T               	1.04998806e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	1.04999065e-02	(4.16666665e-03 3.12500000e-05 5.62500000e-04)
1400            	T               	1.04998783e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	1.04999056e-02	(4.16666665e-03 3.12500000e-05 5.62500000e-04)
1600            	T               	1.04998760e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	1.04999050e-02	(5.41666665e-02 3.12500000e-05 5.87500000e-04)
1800            	T               	1.04998737e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	1.04999045e-02	(5.41666665e-02 3.12500000e-05 6.12500000e-04)
2000            	T               	1.04998714e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	1.04999041e-02	(5.41666665e-02 3.12500000e-05 6.62500000e-04)
