# Wall heat-flux
# Time          	patch           	min             	max             	integral        
84              	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
85              	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
86              	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
87              	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
88              	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
89              	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
90              	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
91              	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
92              	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
93              	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
94              	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
95              	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
96              	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
97              	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
98              	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
99              	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
100             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
101             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
102             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
103             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
104             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
105             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
106             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
107             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
108             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
109             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
110             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
111             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
112             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
113             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
114             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
115             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
116             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
117             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
