# Region type : patch outlet
# Faces         : 400
# Area          : 4.00000000e-06
# Scale factor  : 1.00000000e+00
# Weight field  : phi
# Time          	weightedAverage(T)
200             	1.22897403e-02
400             	1.24812302e-02
600             	1.24979402e-02
800             	1.24993935e-02
1000            	1.24995148e-02
1200            	1.24995218e-02
1400            	1.24995189e-02
1600            	1.24995157e-02
1800            	1.24995130e-02
2000            	1.24995106e-02
