# Region type : patch outlet
# Faces         : 400
# Area          : 4.00000000e-06
# Scale factor  : 1.00000000e+00
# Weight field  : phi
# Time          	weightedAverage(T)
200             	1.04579472e-02
400             	1.04962433e-02
600             	1.04995854e-02
800             	1.04998753e-02
1000            	1.04998982e-02
1200            	1.04998989e-02
1400            	1.04998973e-02
1600            	1.04998956e-02
1800            	1.04998939e-02
2000            	1.04998924e-02
