# Region type : patch outlet
# Faces         : 400
# Area          : 1.00000000e-06
# Scale factor  : 1.00000000e+00
# Weight field  : phi
# Time          	weightedAverage(T)
200             	2.37433298e-02
400             	2.48874074e-02
600             	2.49866464e-02
800             	2.49952109e-02
1000            	2.49959143e-02
1200            	2.49959436e-02
1400            	2.49959205e-02
1600            	2.49958977e-02
1800            	2.49958784e-02
2000            	2.49958618e-02
2200            	2.49958478e-02
2400            	2.49958356e-02
2600            	2.49958246e-02
2800            	2.49958146e-02
3000            	2.49958053e-02
3200            	2.49957965e-02
3400            	2.49957881e-02
3600            	2.49957800e-02
3800            	2.49957722e-02
4000            	2.49957645e-02
4200            	2.49957569e-02
4400            	2.49957494e-02
4600            	2.49957420e-02
4800            	2.49957346e-02
5000            	2.49957273e-02
5200            	2.49957200e-02
5400            	2.49957127e-02
5600            	2.49957055e-02
5800            	2.49956982e-02
6000            	2.49956910e-02
