# Field minima and maxima
# Time          	field           	min             	location(min)   	max             	location(max)   
200             	T               	2.49952370e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	2.49969086e-02	(2.50000000e-03 3.12500000e-05 4.87500000e-04)
400             	T               	2.49952909e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	2.49964697e-02	(2.50000000e-03 3.12500000e-05 5.12500000e-04)
600             	T               	2.49952054e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	2.49962789e-02	(2.50000000e-03 2.50000000e-04 5.12500000e-04)
800             	T               	2.49951106e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	2.49961642e-02	(2.50000000e-03 2.50000000e-04 5.12500000e-04)
1000            	T               	2.49950163e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	2.49960821e-02	(2.50000000e-03 2.50000000e-04 5.12500000e-04)
1200            	T               	2.49949211e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	2.49960276e-02	(4.16666665e-03 3.12500000e-05 5.37500000e-04)
1400            	T               	2.49948251e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	2.49959908e-02	(4.16666665e-03 3.12500000e-05 5.37500000e-04)
1600            	T               	2.49947289e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	2.49959621e-02	(5.83333335e-03 3.12500000e-05 5.37500000e-04)
1800            	T               	2.49946331e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	2.49959421e-02	(5.83333335e-03 3.12500000e-05 5.62500000e-04)
2000            	T               	2.49945384e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	2.49959266e-02	(5.83333335e-03 3.12500000e-05 5.87500000e-04)
2200            	T               	2.49944451e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	2.49959148e-02	(7.50000000e-03 3.12500000e-05 6.12500000e-04)
2400            	T               	2.49943535e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	2.49959057e-02	(7.50000000e-03 3.12500000e-05 6.37500000e-04)
2600            	T               	2.49942639e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	2.49958984e-02	(2.41666665e-02 3.12500000e-05 6.87500000e-04)
2800            	T               	2.49941763e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	2.49958927e-02	(2.41666665e-02 3.12500000e-05 7.12500000e-04)
3000            	T               	2.49940908e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	2.49958880e-02	(2.41666665e-02 3.12500000e-05 8.43750000e-04)
3200            	T               	2.49940072e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	2.49958842e-02	(2.41666665e-02 3.12500000e-05 9.68750000e-04)
3400            	T               	2.49939256e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	2.49958809e-02	(2.41666665e-02 2.62500000e-04 9.68750000e-04)
3600            	T               	2.49938459e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	2.49958781e-02	(2.41666665e-02 3.12500000e-04 9.68750000e-04)
3800            	T               	2.49937681e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	2.49958757e-02	(2.41666665e-02 3.37500000e-04 9.68750000e-04)
4000            	T               	2.49936920e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	2.49958734e-02	(2.41666665e-02 3.87500000e-04 9.68750000e-04)
4200            	T               	2.49936176e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	2.49958712e-02	(2.41666665e-02 4.12500000e-04 9.68750000e-04)
4400            	T               	2.49935448e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	2.49958692e-02	(2.41666665e-02 4.62500000e-04 9.68750000e-04)
4600            	T               	2.49934735e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	2.49958673e-02	(2.41666665e-02 4.62500000e-04 9.68750000e-04)
4800            	T               	2.49934037e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	2.49958654e-02	(2.41666665e-02 4.87500000e-04 9.68750000e-04)
5000            	T               	2.49933353e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	2.49958635e-02	(2.41666665e-02 5.12500000e-04 9.68750000e-04)
5200            	T               	2.49932681e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	2.49958617e-02	(2.41666665e-02 5.12500000e-04 9.68750000e-04)
5400            	T               	2.49932022e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	2.49958599e-02	(2.41666665e-02 5.37500000e-04 9.68750000e-04)
5600            	T               	2.49931374e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	2.49958582e-02	(2.41666665e-02 1.23750000e-03 9.68750000e-04)
5800            	T               	2.49930738e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	2.49958564e-02	(2.41666665e-02 1.23750000e-03 9.68750000e-04)
6000            	T               	2.49930113e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	2.49958547e-02	(2.41666665e-02 1.23750000e-03 9.68750000e-04)
