# Region type : patch outlet
# Faces         : 400
# Area          : 4.00000000e-06
# Scale factor  : 1.00000000e+00
# Weight field  : phi
# Time          	weightedAverage(T)
200             	1.04579143e-02
400             	1.04962051e-02
600             	1.04995456e-02
800             	1.04998345e-02
1000            	1.04998565e-02
1200            	1.04998563e-02
1400            	1.04998539e-02
1600            	1.04998515e-02
1800            	1.04998491e-02
2000            	1.04998469e-02
