# Region type : patch domain1_to_solid_wall
# Faces         : 4800
# Area          : 4.00000000e-04
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(T)
200             	1.04998754e-02
400             	1.04998700e-02
600             	1.04998673e-02
800             	1.04998650e-02
1000            	1.04998632e-02
1200            	1.04998615e-02
1400            	1.04998601e-02
1600            	1.04998589e-02
1800            	1.04998577e-02
2000            	1.04998567e-02
