# Field minima and maxima
# Time          	field           	min             	location(min)   	max             	location(max)   
200             	T               	2.49948803e-02	(8.33333350e-04 4.50000000e-03 9.75000000e-04)	2.49969067e-02	(2.50000000e-03 6.25000000e-05 1.02500000e-03)
400             	T               	2.49945438e-02	(8.33333350e-04 4.50000000e-03 9.75000000e-04)	2.49964501e-02	(4.16666665e-03 6.25000000e-05 1.02500000e-03)
600             	T               	2.49941507e-02	(8.33333350e-04 4.50000000e-03 9.75000000e-04)	2.49962442e-02	(7.50000000e-03 6.25000000e-05 1.07500000e-03)
800             	T               	2.49938096e-02	(8.33333350e-04 4.50000000e-03 9.75000000e-04)	2.49961266e-02	(1.08333335e-02 6.25000000e-05 1.07500000e-03)
1000            	T               	2.49935100e-02	(8.33333350e-04 4.50000000e-03 9.75000000e-04)	2.49960498e-02	(1.41666665e-02 6.25000000e-05 1.12500000e-03)
1200            	T               	2.49932385e-02	(8.33333350e-04 4.50000000e-03 9.75000000e-04)	2.49959953e-02	(1.41666665e-02 6.25000000e-05 1.17500000e-03)
1400            	T               	2.49929870e-02	(8.33333350e-04 4.50000000e-03 9.75000000e-04)	2.49959547e-02	(2.91666665e-02 6.25000000e-05 1.27500000e-03)
1600            	T               	2.49927507e-02	(8.33333350e-04 4.50000000e-03 9.75000000e-04)	2.49959234e-02	(2.91666665e-02 6.25000000e-05 1.32500000e-03)
1800            	T               	2.49925269e-02	(8.33333350e-04 4.50000000e-03 9.75000000e-04)	2.49958986e-02	(2.91666665e-02 6.25000000e-05 1.42500000e-03)
2000            	T               	2.49923135e-02	(8.33333350e-04 4.50000000e-03 9.75000000e-04)	2.49958786e-02	(2.91666665e-02 6.25000000e-05 1.56250000e-03)
2200            	T               	2.49921093e-02	(8.33333350e-04 4.50000000e-03 9.75000000e-04)	2.49958623e-02	(2.91666665e-02 6.25000000e-05 1.93750000e-03)
2400            	T               	2.49919131e-02	(8.33333350e-04 4.50000000e-03 9.75000000e-04)	2.49958485e-02	(2.91666665e-02 4.37500000e-04 1.93750000e-03)
2600            	T               	2.49917240e-02	(8.33333350e-04 4.50000000e-03 9.75000000e-04)	2.49958368e-02	(2.91666665e-02 5.75000000e-04 1.93750000e-03)
2800            	T               	2.49915415e-02	(8.33333350e-04 4.50000000e-03 9.75000000e-04)	2.49958263e-02	(2.91666665e-02 6.75000000e-04 1.93750000e-03)
3000            	T               	2.49913649e-02	(8.33333350e-04 4.50000000e-03 9.75000000e-04)	2.49958168e-02	(2.91666665e-02 7.75000000e-04 1.93750000e-03)
3200            	T               	2.49911936e-02	(8.33333350e-04 4.50000000e-03 9.75000000e-04)	2.49958079e-02	(2.91666665e-02 8.25000000e-04 1.93750000e-03)
3400            	T               	2.49910274e-02	(8.33333350e-04 4.50000000e-03 9.75000000e-04)	2.49957995e-02	(2.91666665e-02 8.75000000e-04 1.93750000e-03)
3600            	T               	2.49908657e-02	(8.33333350e-04 4.50000000e-03 9.75000000e-04)	2.49957915e-02	(2.91666665e-02 9.25000000e-04 1.93750000e-03)
3800            	T               	2.49907083e-02	(8.33333350e-04 4.50000000e-03 9.75000000e-04)	2.49957836e-02	(2.91666665e-02 9.75000000e-04 1.93750000e-03)
4000            	T               	2.49905547e-02	(8.33333350e-04 4.50000000e-03 9.75000000e-04)	2.49957760e-02	(2.91666665e-02 1.02500000e-03 1.93750000e-03)
4200            	T               	2.49904049e-02	(8.33333350e-04 4.50000000e-03 9.75000000e-04)	2.49957684e-02	(2.91666665e-02 1.02500000e-03 1.93750000e-03)
4400            	T               	2.49902585e-02	(8.33333350e-04 4.50000000e-03 9.75000000e-04)	2.49957610e-02	(2.91666665e-02 1.07500000e-03 1.93750000e-03)
4600            	T               	2.49901152e-02	(8.33333350e-04 4.50000000e-03 9.75000000e-04)	2.49957537e-02	(2.91666665e-02 2.47500000e-03 1.93750000e-03)
4800            	T               	2.49899750e-02	(8.33333350e-04 4.50000000e-03 9.75000000e-04)	2.49957466e-02	(2.91666665e-02 2.47500000e-03 1.93750000e-03)
5000            	T               	2.49898375e-02	(8.33333350e-04 4.50000000e-03 9.75000000e-04)	2.49957394e-02	(2.91666665e-02 2.47500000e-03 1.93750000e-03)
5200            	T               	2.49897027e-02	(8.33333350e-04 4.50000000e-03 9.75000000e-04)	2.49957322e-02	(2.91666665e-02 2.47500000e-03 1.93750000e-03)
5400            	T               	2.49895704e-02	(8.33333350e-04 4.50000000e-03 9.75000000e-04)	2.49957250e-02	(3.91666665e-02 2.47500000e-03 1.93750000e-03)
5600            	T               	2.49894405e-02	(8.33333350e-04 4.50000000e-03 9.75000000e-04)	2.49957178e-02	(3.41666665e-02 2.52500000e-03 1.93750000e-03)
5800            	T               	2.49893128e-02	(8.33333350e-04 4.50000000e-03 9.75000000e-04)	2.49957107e-02	(3.41666665e-02 2.52500000e-03 1.93750000e-03)
6000            	T               	2.49891872e-02	(8.33333350e-04 4.50000000e-03 9.75000000e-04)	2.49957035e-02	(3.41666665e-02 3.97500000e-03 1.93750000e-03)
