# Region type : patch inlet
# Faces         : 400
# Area          : 2.50000000e-07
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p_rgh)
200             	1.13739150e-02
400             	1.13736094e-02
600             	1.13736090e-02
800             	1.13736091e-02
1000            	1.13736092e-02
1200            	1.13736092e-02
1400            	1.13736092e-02
1600            	1.13736092e-02
1800            	1.13736092e-02
2000            	1.13736092e-02
