# Region type : patch inlet
# Faces         : 400
# Area          : 4.00000000e-06
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p_rgh)
200             	8.07810887e-04
400             	8.07807373e-04
600             	8.07807373e-04
800             	8.07807373e-04
1000            	8.07807373e-04
1200            	8.07807373e-04
1400            	8.07807373e-04
1600            	8.07807373e-04
1800            	8.07807373e-04
2000            	8.07807373e-04
2200            	8.07807373e-04
2400            	8.07807373e-04
2600            	8.07807373e-04
2800            	8.07807373e-04
3000            	8.07807373e-04
3200            	8.07807373e-04
3400            	8.07807373e-04
3600            	8.07807373e-04
3800            	8.07807373e-04
4000            	8.07807373e-04
4200            	8.07807373e-04
4400            	8.07807373e-04
4600            	8.07807373e-04
4800            	8.07807373e-04
5000            	8.07807373e-04
5200            	8.07807373e-04
5400            	8.07807373e-04
5600            	8.07807373e-04
5800            	8.07807373e-04
6000            	8.07807373e-04
