# Field minima and maxima
# Time          	field           	min             	location(min)   	max             	location(max)   
200             	T               	1.04998292e-02	(8.33333350e-04 4.50000000e-03 9.75000000e-04)	1.04998967e-02	(2.50000000e-03 6.25000000e-05 1.07500000e-03)
400             	T               	1.04998177e-02	(8.33333350e-04 4.50000000e-03 9.75000000e-04)	1.04998813e-02	(4.16666665e-03 6.25000000e-05 1.07500000e-03)
600             	T               	1.04998044e-02	(8.33333350e-04 4.50000000e-03 9.75000000e-04)	1.04998742e-02	(7.50000000e-03 6.25000000e-05 1.12500000e-03)
800             	T               	1.04997928e-02	(8.33333350e-04 4.50000000e-03 9.75000000e-04)	1.04998701e-02	(2.91666665e-02 6.25000000e-05 1.17500000e-03)
1000            	T               	1.04997825e-02	(8.33333350e-04 4.50000000e-03 9.75000000e-04)	1.04998673e-02	(2.91666665e-02 6.25000000e-05 1.27500000e-03)
1200            	T               	1.04997732e-02	(8.33333350e-04 4.50000000e-03 9.75000000e-04)	1.04998653e-02	(2.91666665e-02 6.25000000e-05 1.32500000e-03)
1400            	T               	1.04997646e-02	(8.33333350e-04 4.50000000e-03 9.75000000e-04)	1.04998637e-02	(2.91666665e-02 6.25000000e-05 1.42500000e-03)
1600            	T               	1.04997565e-02	(8.33333350e-04 4.50000000e-03 9.75000000e-04)	1.04998625e-02	(2.91666665e-02 6.25000000e-05 1.81250000e-03)
1800            	T               	1.04997488e-02	(8.33333350e-04 4.50000000e-03 9.75000000e-04)	1.04998615e-02	(2.91666665e-02 6.25000000e-05 1.93750000e-03)
2000            	T               	1.04997414e-02	(8.33333350e-04 4.50000000e-03 9.75000000e-04)	1.04998606e-02	(2.91666665e-02 5.25000000e-04 1.93750000e-03)
