# Region type : patch outlet
# Faces         : 400
# Area          : 1.00000000e-06
# Scale factor  : 1.00000000e+00
# Weight field  : phi
# Time          	weightedAverage(T)
200             	1.22907187e-02
400             	1.24814227e-02
600             	1.24979684e-02
800             	1.24993993e-02
1000            	1.24995191e-02
1200            	1.24995264e-02
1400            	1.24995244e-02
1600            	1.24995223e-02
1800            	1.24995205e-02
2000            	1.24995188e-02
