# Region type : patch outlet
# Faces         : 576
# Area          : 2.50000000e-07
# Scale factor  : 1.00000000e+00
# Weight field  : phi
# Time          	weightedAverage(T)
200             	2.23800907e-02
400             	2.45206279e-02
600             	2.49105402e-02
800             	2.49815393e-02
1000            	2.49944517e-02
