# Field minima and maxima
# Time          	field           	min             	location(min)   	max             	location(max)   
200             	T               	2.49956293e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	2.49978133e-02	(7.50000000e-03 1.25000000e-04 2.35000000e-03)
400             	T               	2.49948338e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	2.49974796e-02	(1.25000000e-02 1.25000000e-04 2.25000000e-03)
600             	T               	2.49942025e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	2.49973228e-02	(1.58333335e-02 1.25000000e-04 2.35000000e-03)
800             	T               	2.49936949e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	2.49972273e-02	(1.91666665e-02 1.25000000e-04 2.65000000e-03)
1000            	T               	2.49932606e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	2.49971604e-02	(2.08333335e-02 1.25000000e-04 2.85000000e-03)
1200            	T               	2.49928728e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	2.49971095e-02	(2.41666665e-02 1.25000000e-04 3.62500000e-03)
1400            	T               	2.49925175e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	2.49970684e-02	(2.58333335e-02 3.75000000e-04 3.87500000e-03)
1600            	T               	2.49921866e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	2.49970339e-02	(2.91666665e-02 1.15000000e-03 3.87500000e-03)
1800            	T               	2.49918752e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	2.49970037e-02	(2.91666665e-02 1.35000000e-03 3.87500000e-03)
2000            	T               	2.49915797e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	2.49969763e-02	(3.25000000e-02 1.45000000e-03 3.87500000e-03)
2200            	T               	2.49912978e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	2.49969510e-02	(3.41666665e-02 1.65000000e-03 3.87500000e-03)
2400            	T               	2.49910275e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	2.49969271e-02	(3.58333335e-02 1.75000000e-03 3.87500000e-03)
2600            	T               	2.49907676e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	2.49969042e-02	(3.91666665e-02 1.85000000e-03 3.87500000e-03)
2800            	T               	2.49905167e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	2.49968821e-02	(3.91666665e-02 1.95000000e-03 3.87500000e-03)
3000            	T               	2.49902740e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	2.49968605e-02	(3.91666665e-02 2.05000000e-03 3.87500000e-03)
3200            	T               	2.49900387e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	2.49968392e-02	(4.41666665e-02 2.05000000e-03 3.87500000e-03)
3400            	T               	2.49898101e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	2.49968182e-02	(4.41666665e-02 2.15000000e-03 3.87500000e-03)
3600            	T               	2.49895877e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	2.49967977e-02	(4.41666665e-02 4.95000000e-03 3.87500000e-03)
3800            	T               	2.49893709e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	2.49967777e-02	(4.91666665e-02 4.95000000e-03 3.87500000e-03)
4000            	T               	2.49891594e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	2.49967576e-02	(4.91666665e-02 4.95000000e-03 3.87500000e-03)
4200            	T               	2.49889526e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	2.49967375e-02	(5.41666665e-02 4.95000000e-03 3.87500000e-03)
4400            	T               	2.49887504e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	2.49967174e-02	(5.41666665e-02 4.95000000e-03 3.87500000e-03)
4600            	T               	2.49885523e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	2.49966972e-02	(5.41666665e-02 5.05000000e-03 3.87500000e-03)
4800            	T               	2.49883582e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	2.49966770e-02	(5.41666665e-02 7.95000000e-03 3.87500000e-03)
5000            	T               	2.49881678e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	2.49966569e-02	(5.41666665e-02 7.95000000e-03 3.87500000e-03)
5200            	T               	2.49879808e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	2.49966367e-02	(5.91666665e-02 7.95000000e-03 3.87500000e-03)
5400            	T               	2.49877970e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	2.49966165e-02	(5.91666665e-02 7.95000000e-03 3.87500000e-03)
5600            	T               	2.49876164e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	2.49965963e-02	(5.91666665e-02 7.95000000e-03 3.87500000e-03)
5800            	T               	2.49874386e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	2.49965761e-02	(5.91666665e-02 7.95000000e-03 3.87500000e-03)
6000            	T               	2.49872636e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	2.49965559e-02	(5.91666665e-02 7.95000000e-03 3.87500000e-03)
