# Wall heat-flux
# Time          	patch           	min             	max             	integral        
84              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
85              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
86              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
87              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
88              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
89              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
90              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
91              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
92              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
93              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
94              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
95              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
96              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
97              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
98              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
99              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
100             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
101             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
102             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
103             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
104             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
105             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
106             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
107             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
108             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
109             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
110             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
111             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
112             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
113             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
114             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
115             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
116             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
117             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
118             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
119             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
120             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
121             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
122             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
123             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
124             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
125             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
126             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
127             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
128             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
129             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
130             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
131             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
132             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
133             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
134             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
135             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
136             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
137             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
138             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
139             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
140             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
141             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
142             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
143             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
144             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
145             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
146             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
147             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
148             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
149             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
150             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
151             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
152             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
153             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
154             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
155             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
156             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
157             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
