# Region type : patch outlet
# Faces         : 400
# Area          : 2.50000000e-07
# Scale factor  : 1.00000000e+00
# Weight field  : phi
# Time          	weightedAverage(T)
200             	1.04581587e-02
400             	1.04962558e-02
600             	1.04995563e-02
800             	1.04998409e-02
1000            	1.04998644e-02
1200            	1.04998655e-02
1400            	1.04998648e-02
1600            	1.04998642e-02
1800            	1.04998637e-02
2000            	1.04998632e-02
