# Region type : patch inlet
# Faces         : 400
# Area          : 1.00000000e-06
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
200             	-1.45000000e-07
400             	-1.45000000e-07
600             	-1.45000000e-07
800             	-1.45000000e-07
1000            	-1.45000000e-07
1200            	-1.45000000e-07
1400            	-1.45000000e-07
1600            	-1.45000000e-07
1800            	-1.45000000e-07
2000            	-1.45000000e-07
