# Field minima and maxima
# Time          	field           	min             	location(min)   	max             	location(max)   
200             	T               	1.04998538e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	1.04999268e-02	(7.50000000e-03 1.25000000e-04 2.45000000e-03)
400             	T               	1.04998266e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	1.04999150e-02	(1.41666665e-02 1.25000000e-04 2.45000000e-03)
600             	T               	1.04998049e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	1.04999093e-02	(1.58333335e-02 1.25000000e-04 2.65000000e-03)
800             	T               	1.04997873e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	1.04999056e-02	(1.91666665e-02 1.25000000e-04 3.12500000e-03)
1000            	T               	1.04997722e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	1.04999029e-02	(2.41666665e-02 3.75000000e-04 3.87500000e-03)
1200            	T               	1.04997586e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	1.04999007e-02	(2.41666665e-02 1.15000000e-03 3.87500000e-03)
1400            	T               	1.04997460e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	1.04998988e-02	(2.41666665e-02 1.35000000e-03 3.87500000e-03)
1600            	T               	1.04997343e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	1.04998970e-02	(2.91666665e-02 1.55000000e-03 3.87500000e-03)
1800            	T               	1.04997233e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	1.04998954e-02	(2.91666665e-02 1.65000000e-03 3.87500000e-03)
2000            	T               	1.04997128e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	1.04998938e-02	(2.91666665e-02 1.85000000e-03 3.87500000e-03)
