# Region type : patch outlet
# Faces         : 400
# Area          : 1.00000000e-06
# Scale factor  : 1.00000000e+00
# Weight field  : phi
# Time          	weightedAverage(T)
200             	1.22905554e-02
400             	1.24812357e-02
600             	1.24977762e-02
800             	1.24992043e-02
1000            	1.24993222e-02
1200            	1.24993278e-02
1400            	1.24993247e-02
1600            	1.24993217e-02
1800            	1.24993191e-02
2000            	1.24993168e-02
