# Region type : patch outlet
# Faces         : 400
# Area          : 2.50000000e-07
# Scale factor  : 1.00000000e+00
# Weight field  : phi
# Time          	weightedAverage(T)
200             	2.37447639e-02
400             	2.48876766e-02
600             	2.49866944e-02
800             	2.49952335e-02
1000            	2.49959387e-02
1200            	2.49959730e-02
1400            	2.49959553e-02
1600            	2.49959378e-02
1800            	2.49959241e-02
2000            	2.49959132e-02
2200            	2.49959047e-02
2400            	2.49958980e-02
2600            	2.49958924e-02
2800            	2.49958879e-02
3000            	2.49958840e-02
3200            	2.49958807e-02
3400            	2.49958778e-02
3600            	2.49958752e-02
3800            	2.49958728e-02
4000            	2.49958706e-02
4200            	2.49958685e-02
4400            	2.49958665e-02
4600            	2.49958645e-02
4800            	2.49958626e-02
5000            	2.49958608e-02
5200            	2.49958589e-02
5400            	2.49958571e-02
5600            	2.49958553e-02
5800            	2.49958536e-02
6000            	2.49958518e-02
