# Region type : patch inlet
# Faces         : 400
# Area          : 4.00000000e-06
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
200             	-5.80000000e-07
400             	-5.80000000e-07
600             	-5.80000000e-07
800             	-5.80000000e-07
1000            	-5.80000000e-07
1200            	-5.80000000e-07
1400            	-5.80000000e-07
1600            	-5.80000000e-07
1800            	-5.80000000e-07
2000            	-5.80000000e-07
