# Wall heat-flux
# Time          	patch           	min             	max             	integral        
84              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
85              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
86              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
87              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
88              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
89              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
90              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
91              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
92              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
93              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
94              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
95              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
96              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
97              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
98              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
99              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
100             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
101             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
102             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
103             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
104             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
105             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
106             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
107             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
108             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
109             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
110             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
111             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
112             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
113             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
114             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
115             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
116             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
117             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
118             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
119             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
120             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
121             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
122             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
123             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
124             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
125             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
126             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
127             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
128             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
129             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
130             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
131             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
132             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
133             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
134             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
135             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
136             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
137             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
138             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
