# Region type : patch domain1_to_solid_wall
# Faces         : 4800
# Area          : 4.00000000e-04
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(T)
200             	1.24995626e-02
400             	1.24995449e-02
600             	1.24995366e-02
800             	1.24995301e-02
1000            	1.24995248e-02
1200            	1.24995205e-02
1400            	1.24995168e-02
1600            	1.24995138e-02
1800            	1.24995111e-02
2000            	1.24995088e-02
