# Region type : patch domain1_to_solid_wall
# Faces         : 4800
# Area          : 8.00000000e-04
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(T)
200             	1.24995603e-02
400             	1.24995391e-02
600             	1.24995270e-02
800             	1.24995167e-02
1000            	1.24995076e-02
1200            	1.24994994e-02
1400            	1.24994919e-02
1600            	1.24994849e-02
1800            	1.24994784e-02
2000            	1.24994722e-02
