# Region type : patch outlet
# Faces         : 400
# Area          : 4.00000000e-06
# Scale factor  : 1.00000000e+00
# Weight field  : phi
# Time          	weightedAverage(T)
200             	1.22895770e-02
400             	1.24810427e-02
600             	1.24977470e-02
800             	1.24991972e-02
1000            	1.24993162e-02
1200            	1.24993211e-02
1400            	1.24993166e-02
1600            	1.24993121e-02
1800            	1.24993082e-02
2000            	1.24993048e-02
