# Field minima and maxima
# Time          	field           	min             	location(min)   	max             	location(max)   
200             	T               	1.24992063e-02	(8.33333350e-04 2.25000000e-03 5.12500000e-04)	1.24994849e-02	(2.50000000e-03 3.12500000e-05 4.87500000e-04)
400             	T               	1.24992155e-02	(8.33333350e-04 2.25000000e-03 5.12500000e-04)	1.24994119e-02	(2.50000000e-03 3.12500000e-05 4.87500000e-04)
600             	T               	1.24992014e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	1.24993803e-02	(2.50000000e-03 2.50000000e-04 5.12500000e-04)
800             	T               	1.24991858e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	1.24993613e-02	(2.50000000e-03 2.50000000e-04 5.12500000e-04)
1000            	T               	1.24991702e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	1.24993478e-02	(2.50000000e-03 2.50000000e-04 5.12500000e-04)
1200            	T               	1.24991545e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	1.24993389e-02	(4.16666665e-03 3.12500000e-05 5.12500000e-04)
1400            	T               	1.24991387e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	1.24993329e-02	(4.16666665e-03 2.50000000e-04 5.12500000e-04)
1600            	T               	1.24991228e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	1.24993283e-02	(5.83333335e-03 3.12500000e-05 5.12500000e-04)
1800            	T               	1.24991071e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	1.24993251e-02	(5.83333335e-03 3.12500000e-05 5.37500000e-04)
2000            	T               	1.24990914e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	1.24993227e-02	(7.50000000e-03 3.12500000e-05 5.37500000e-04)
